epoch,Accuracy,loss,val_Accuracy,val_loss
0,0.625,0.8706878423690796,0.8399999737739563,0.36599692702293396
1,0.8069999814033508,0.4471678137779236,0.8999999761581421,0.27598902583122253
2,0.8654999732971191,0.3522716462612152,0.8987500071525574,0.258568674325943
3,0.8830000162124634,0.33755332231521606,0.893750011920929,0.2864237129688263
4,0.902999997138977,0.2644186019897461,0.9037500023841858,0.2566695809364319
5,0.8999999761581421,0.2734473943710327,0.862500011920929,0.49020498991012573
6,0.9210000038146973,0.2635326683521271,0.9112499952316284,0.2941790819168091
7,0.9240000247955322,0.24243348836898804,0.8849999904632568,0.34689822793006897
8,0.9225000143051147,0.22779113054275513,0.8999999761581421,0.41865143179893494
9,0.9269999861717224,0.19728690385818481,0.8999999761581421,0.3315598666667938
