epoch,Accuracy,loss,val_Accuracy,val_loss
0,0.6315000057220459,0.9028640985488892,0.8687499761581421,0.35060417652130127
1,0.8019999861717224,0.44806957244873047,0.8887500166893005,0.2797958254814148
2,0.8684999942779541,0.36791738867759705,0.8912500143051147,0.30707138776779175
3,0.8769999742507935,0.33170875906944275,0.8924999833106995,0.29603421688079834
4,0.8970000147819519,0.2952479124069214,0.8799999952316284,0.3413184881210327
5,0.9014999866485596,0.27104541659355164,0.9087499976158142,0.2852557599544525
6,0.9049999713897705,0.24903324246406555,0.8712499737739563,0.40299174189567566
7,0.9179999828338623,0.23120054602622986,0.9037500023841858,0.34591880440711975
8,0.921999990940094,0.2099664956331253,0.887499988079071,0.4445389211177826
9,0.9254999756813049,0.22864781320095062,0.8862500190734863,0.44707757234573364
