step	Accuracy
0	0.6274999976158142
1	0.815500020980835
2	0.871999979019165
3	0.8755000233650208
4	0.8955000042915344
5	0.906499981880188
6	0.9129999876022339
7	0.921999990940094
8	0.9225000143051147
9	0.9254999756813049
