step	loss
0	0.809453010559082
1	0.4322449862957001
2	0.36638766527175903
3	0.3453529477119446
4	0.3139178156852722
5	0.3003304600715637
6	0.2609134018421173
7	0.24450232088565826
8	0.2557812035083771
9	0.2047351598739624
